race_number,Driver,starting_position,finishing_position,race_time,strategy,pit_laps,overtakes,number_of_laps_completed,lap_times
0,lando-norris,1,1,5521.536737631693,"['soft', 'hard', 'medium']","[10, 55]",2,72,"[np.float64(81.86645256638684), np.float64(77.20045242232709), np.float64(76.98689888371945), np.float64(77.29961027126261), np.float64(76.68980118570411), np.float64(78.08339509344876), np.float64(77.51743211471468), np.float64(77.92595803877819), np.float64(79.11150734495455), np.float64(79.25743898715118), np.float64(100.93309292339865), np.float64(75.10305710546541), np.float64(75.08548496016445), np.float64(76.37551171521827), np.float64(75.32383467005604), np.float64(74.97732835967334), np.float64(75.85973630227865), np.float64(75.17875454774943), np.float64(75.82586974735943), np.float64(75.79687958309587), np.float64(74.85692086317778), np.float64(75.77028698262355), np.float64(74.62447046879566), np.float64(76.32012449738747), np.float64(76.1795922614294), np.float64(75.22528336313472), np.float64(75.9630283092786), np.float64(75.22612479776282), np.float64(75.58509782378131), np.float64(75.27020410926326), np.float64(76.40191367217781), np.float64(75.41764957838797), np.float64(75.86112502911179), np.float64(75.53745453600834), np.float64(76.45026940925287), np.float64(75.5427623779472), np.float64(76.89819017154093), np.float64(76.9513039053339), np.float64(76.05508807743053), np.float64(76.0549339055497), np.float64(77.07622389489724), np.float64(77.3146949207872), np.float64(76.91138754244365), np.float64(76.69147168266952), np.float64(76.27715052278113), np.float64(77.22085406855942), np.float64(77.3625549065487), np.float64(77.23665117467617), np.float64(77.9495269903957), np.float64(77.67557844807094), np.float64(78.26941581896638), np.float64(77.1949293245359), np.float64(77.44798399676885), np.float64(77.66960050491821), np.float64(78.41580343539393), np.float64(100.20108105576493), np.float64(73.63871818354195), np.float64(74.15808253911614), np.float64(74.16529733314647), np.float64(72.99977372777687), np.float64(73.5245242269032), np.float64(73.22983949814295), np.float64(74.13907344887356), np.float64(73.47730692683922), np.float64(73.44036026298684), np.float64(73.10417087276318), np.float64(73.61169644459625), np.float64(74.01911714484457), np.float64(73.68906462749706), np.float64(73.55128109612306), np.float64(74.22581887277951), np.float64(73.54097021047376)]"
0,oscar-piastri,3,2,5548.128209275818,"['soft', 'medium', 'hard']","[9, 40]",4,72,"[np.float64(80.55773126147662), np.float64(76.12977027498398), np.float64(77.38502864811042), np.float64(77.67406863402303), np.float64(77.40009383042626), np.float64(77.01948193740196), np.float64(76.98684169623316), np.float64(77.7117419938514), np.float64(78.82708092053484), np.float64(100.72479447016578), np.float64(75.35883125509073), np.float64(77.04007901563425), np.float64(76.72252862187823), np.float64(75.49796653019764), np.float64(75.58087178157463), np.float64(75.91778963749174), np.float64(76.56826326351876), np.float64(76.10719847764469), np.float64(76.14794317422081), np.float64(75.6291752302577), np.float64(76.72312809116937), np.float64(76.43936342671134), np.float64(75.58853316903061), np.float64(75.58671044075406), np.float64(76.6022824363967), np.float64(77.3157347817104), np.float64(76.37335517769361), np.float64(77.11859133654559), np.float64(77.70429173891314), np.float64(77.26821479563779), np.float64(76.77550461131955), np.float64(77.37065593762658), np.float64(77.4800333994599), np.float64(77.66352610551336), np.float64(77.98538727549246), np.float64(78.06369228745662), np.float64(78.06627280465767), np.float64(77.94343304149203), np.float64(78.29025226757551), np.float64(78.93603933687926), np.float64(100.61048672281481), np.float64(75.23118328815224), np.float64(74.39244379619477), np.float64(74.10590083270509), np.float64(75.49252741794136), np.float64(74.4514128282514), np.float64(75.06454505117487), np.float64(75.36682526256028), np.float64(74.88954267758312), np.float64(75.0858689686761), np.float64(74.31290560509537), np.float64(75.26745413014629), np.float64(74.27871422633982), np.float64(75.18141017042659), np.float64(74.7338258434269), np.float64(75.10025427597884), np.float64(75.66521834465365), np.float64(74.52058621822601), np.float64(75.20694092483521), np.float64(74.23322214700205), np.float64(75.2706727359565), np.float64(74.80111277696537), np.float64(75.73969190357845), np.float64(75.33285051014138), np.float64(75.77489379591067), np.float64(75.40716064994291), np.float64(75.39778459760726), np.float64(74.62456437446207), np.float64(75.9899879314571), np.float64(75.59997326543395), np.float64(76.10998783868915), np.float64(75.47301982191388)]"
0,max-verstappen,2,3,5593.998188641197,"['medium', 'medium']",[32],3,72,"[np.float64(81.51481249531169), np.float64(75.98692793793016), np.float64(76.18418437169906), np.float64(76.36804557496684), np.float64(76.50087155006075), np.float64(76.32656224774556), np.float64(76.34402866902575), np.float64(76.01683411559071), np.float64(77.4450831265915), np.float64(77.18302562436749), np.float64(77.19745908395785), np.float64(77.26871929429889), np.float64(77.234068157875), np.float64(77.6901568487859), np.float64(77.31599639018201), np.float64(76.94016775176063), np.float64(78.0833211322543), np.float64(77.0886432761649), np.float64(78.11314585087636), np.float64(78.61817994193159), np.float64(77.44818790308696), np.float64(77.5165127054222), np.float64(78.44041759897264), np.float64(78.49948603073106), np.float64(78.34751499044961), np.float64(78.3559330239721), np.float64(78.78254394992913), np.float64(78.10139482031913), np.float64(78.743972838532), np.float64(79.38686060862224), np.float64(78.77892979620839), np.float64(78.79132972271199), np.float64(100.87328639863803), np.float64(74.20712789769375), np.float64(74.86336787861619), np.float64(75.01645029310477), np.float64(75.06573843672334), np.float64(74.14725248822843), np.float64(75.44830236737002), np.float64(74.36531181274131), np.float64(75.3574538754201), np.float64(74.9643901992082), np.float64(74.63908898480508), np.float64(75.02287317136604), np.float64(75.40931749710373), np.float64(75.67524361968084), np.float64(75.3677689627293), np.float64(74.59101132739293), np.float64(75.44414667130654), np.float64(75.5758416354292), np.float64(74.72262107253569), np.float64(75.85838108884342), np.float64(76.34148609285664), np.float64(75.47384142295853), np.float64(75.27855847523166), np.float64(76.7526579793944), np.float64(76.9005516167786), np.float64(77.11539473492438), np.float64(76.89899939590069), np.float64(76.09860106374872), np.float64(77.25342236474071), np.float64(76.75660212999104), np.float64(76.96276130222701), np.float64(77.66123440158205), np.float64(77.97218066230167), np.float64(78.83929155604605), np.float64(77.9450045150283), np.float64(78.64020338351918), np.float64(78.88384283237639), np.float64(78.41533147334903), np.float64(79.8933474039814), np.float64(80.0673359709818)]"
0,charles-leclerc,6,4,5597.606593895607,"['soft', 'medium', 'soft', 'hard']","[10, 41, 52]",4,72,"[np.float64(80.66826334303784), np.float64(77.15329457611094), np.float64(77.44038664105948), np.float64(76.54316003496497), np.float64(77.94311312329961), np.float64(78.17738450862917), np.float64(77.95584188787636), np.float64(77.44201328415421), np.float64(79.41429071848603), np.float64(78.86355126684873), np.float64(100.7932433261362), np.float64(76.33986189309525), np.float64(76.82363223363171), np.float64(76.80753768765624), np.float64(77.10562651212211), np.float64(76.24569917621862), np.float64(76.56532894690835), np.float64(75.96262072063813), np.float64(75.99452207742789), np.float64(76.86256914629259), np.float64(75.8965789442656), np.float64(75.9802849037002), np.float64(76.6418708019253), np.float64(76.57514971722944), np.float64(76.69604151795552), np.float64(76.90355939858397), np.float64(77.05973014081385), np.float64(77.31061696751118), np.float64(77.12671060176368), np.float64(77.69956899552447), np.float64(77.73821091018719), np.float64(76.99649413499743), np.float64(78.00082937544984), np.float64(77.54375166102305), np.float64(77.34208911348843), np.float64(77.94995343144423), np.float64(77.68474752553999), np.float64(77.7088426976598), np.float64(77.97615841801354), np.float64(78.51728925027551), np.float64(78.52606652392222), np.float64(100.9973655731995), np.float64(75.36202327077987), np.float64(75.33449037289263), np.float64(75.04220076979459), np.float64(75.65270531778484), np.float64(74.95737102663355), np.float64(75.4865208940571), np.float64(76.50408158750378), np.float64(76.8721809016502), np.float64(76.27762681684295), np.float64(77.71792789680113), np.float64(99.66714178798195), np.float64(74.23065319893323), np.float64(74.09887142170516), np.float64(74.20702182632441), np.float64(75.20620329428797), np.float64(74.25637997659378), np.float64(74.16140024791372), np.float64(74.74290832300066), np.float64(74.51094762684316), np.float64(74.63445212290839), np.float64(74.21880907476283), np.float64(74.38707633369827), np.float64(74.82704189671875), np.float64(74.11007943722659), np.float64(74.58506944691558), np.float64(74.63960929415326), np.float64(74.09481851055546), np.float64(73.95416873856753), np.float64(74.05565001839855), np.float64(75.07495701258688)]"
0,george-russell,4,5,5613.097813625193,"['medium', 'medium', 'medium']","[30, 61]",7,72,"[np.float64(80.66363022176085), np.float64(76.30163083668272), np.float64(77.0152196322018), np.float64(77.35854030521969), np.float64(77.09393541223739), np.float64(76.28092806889285), np.float64(76.49147236160266), np.float64(76.97033338972896), np.float64(75.71010664947318), np.float64(76.82852079153594), np.float64(77.16821504129665), np.float64(75.97184205425106), np.float64(76.59208186326553), np.float64(77.93679245147837), np.float64(77.51734960444489), np.float64(77.40295221950348), np.float64(77.17535163946027), np.float64(78.17502803080248), np.float64(77.17503806235851), np.float64(77.5715613215603), np.float64(78.17312670512845), np.float64(78.52635101241081), np.float64(78.49817013863071), np.float64(78.36006400077947), np.float64(78.46256536322848), np.float64(78.88087057102958), np.float64(78.2367350140142), np.float64(79.53391268397361), np.float64(79.39278600718723), np.float64(80.20597822176754), np.float64(100.94445028695215), np.float64(75.2990638847094), np.float64(75.0229125697054), np.float64(75.89782037428634), np.float64(76.0533191823805), np.float64(75.32427354576046), np.float64(75.05487517544837), np.float64(74.85242009808752), np.float64(74.80536358435738), np.float64(74.75769155474917), np.float64(75.61891680891083), np.float64(75.12317198836645), np.float64(75.19222983649203), np.float64(76.54671478745936), np.float64(75.07938870143938), np.float64(76.3231558343627), np.float64(76.01666706484184), np.float64(76.14398220191799), np.float64(75.6587799468448), np.float64(76.25091929924403), np.float64(76.35605369823129), np.float64(76.23657972177698), np.float64(75.87468569609142), np.float64(76.21287519880326), np.float64(77.25014809502736), np.float64(76.55184334091108), np.float64(76.48734291809983), np.float64(77.85345160143915), np.float64(76.70977482915401), np.float64(78.09686441796455), np.float64(78.04588800840537), np.float64(100.20858491260472), np.float64(73.4058658269388), np.float64(73.66597375516015), np.float64(73.50013454074136), np.float64(74.26236790389366), np.float64(73.1599079751187), np.float64(73.50743382832744), np.float64(73.67210362220288), np.float64(73.91913898686956), np.float64(74.50189106493798), np.float64(73.96495508609911)]"
0,carlos-sainz-jr,9,6,5619.300469391462,"['soft', 'medium', 'hard']","[10, 41]",7,72,"[np.float64(81.0791983491922), np.float64(77.38887099672066), np.float64(76.67530565619914), np.float64(78.45827964971055), np.float64(76.70651912545279), np.float64(78.08184621859672), np.float64(78.54723391714555), np.float64(79.09929240838211), np.float64(79.66724640021836), np.float64(78.99531989327794), np.float64(100.6237212348684), np.float64(76.49402330628868), np.float64(77.7472713257424), np.float64(75.58524961683506), np.float64(76.17023277954813), np.float64(77.319970801252), np.float64(76.3469198038322), np.float64(76.97044664669859), np.float64(76.9645838710673), np.float64(77.27803615189474), np.float64(77.25040804347921), np.float64(76.23142788996715), np.float64(76.32402592917174), np.float64(76.25885355718057), np.float64(76.18736850255274), np.float64(76.80400374446815), np.float64(77.71878946806328), np.float64(77.34409390438582), np.float64(77.35621997786694), np.float64(76.78538296201748), np.float64(77.69539180258425), np.float64(76.85960860031605), np.float64(77.83831288720671), np.float64(78.2423379062896), np.float64(77.27644428425081), np.float64(78.66962714672587), np.float64(79.00446859417191), np.float64(77.90888181527059), np.float64(78.78999159986641), np.float64(78.17680350929601), np.float64(79.70397098622489), np.float64(100.38472223304589), np.float64(75.81101930428179), np.float64(74.65098791215094), np.float64(75.03266857341691), np.float64(74.94144917600019), np.float64(75.24960214184955), np.float64(75.5987640121138), np.float64(75.67722519231604), np.float64(75.22956035230511), np.float64(75.5634457689943), np.float64(75.02238353530623), np.float64(75.38597470253713), np.float64(75.76741544247724), np.float64(76.04550768233), np.float64(75.9507884371881), np.float64(75.36381530358857), np.float64(74.8392753414436), np.float64(74.63588304145183), np.float64(75.34988505960658), np.float64(74.84328496349296), np.float64(76.1561998018153), np.float64(75.69200792506277), np.float64(75.30685369517911), np.float64(75.72211779632978), np.float64(76.04372263635327), np.float64(75.91723090685922), np.float64(76.3027845048403), np.float64(76.07985586016527), np.float64(75.83129611888823), np.float64(76.1102214775724), np.float64(76.3703768036204)]"
0,lance-stroll,8,7,5628.657903863708,"['soft', 'medium', 'soft', 'medium']","[10, 40, 51]",5,72,"[np.float64(82.04505160576804), np.float64(76.86761378503127), np.float64(77.91369388023686), np.float64(77.53379185790092), np.float64(76.80685752443718), np.float64(78.4355470303113), np.float64(78.11781973743034), np.float64(78.98168035828945), np.float64(80.4881524464743), np.float64(80.4514480575995), np.float64(101.5980075686653), np.float64(76.76431686934762), np.float64(77.38776357260923), np.float64(77.61975980829504), np.float64(77.46031813680888), np.float64(76.9055780903245), np.float64(77.50740729211704), np.float64(76.49011427139274), np.float64(77.57502025509393), np.float64(76.10894713419077), np.float64(76.32113872305092), np.float64(76.31507938838854), np.float64(77.71019656634567), np.float64(77.02597526918609), np.float64(76.47375026226173), np.float64(76.86780904090946), np.float64(77.88534500833731), np.float64(76.6530763153598), np.float64(77.00213110701205), np.float64(77.9168027484359), np.float64(77.2205279948172), np.float64(77.8756381863354), np.float64(77.41964061070522), np.float64(77.56992696404356), np.float64(78.13108809124942), np.float64(79.07882213305254), np.float64(78.43480813645462), np.float64(79.44797300069789), np.float64(78.7874413875272), np.float64(79.66263174221106), np.float64(100.7774077870415), np.float64(74.77552341248608), np.float64(75.82101007342175), np.float64(76.19206045226973), np.float64(75.44714647690276), np.float64(75.84930044254133), np.float64(75.64018972901641), np.float64(76.84136719395836), np.float64(77.071211567405), np.float64(77.63018376274182), np.float64(77.45679021718273), np.float64(100.03406366564808), np.float64(74.16453771516828), np.float64(75.26261319399404), np.float64(75.46744920418188), np.float64(75.26893239001768), np.float64(74.58992451127156), np.float64(74.5288796860377), np.float64(75.2976785551978), np.float64(75.01645316046263), np.float64(74.26121155915123), np.float64(74.63208647308306), np.float64(75.7341483493153), np.float64(74.90414310549234), np.float64(74.5002962848991), np.float64(74.95102690839005), np.float64(74.828500127975), np.float64(75.55152263661215), np.float64(75.79211196733952), np.float64(75.59757820352657), np.float64(74.96846964458744), np.float64(76.45956964179723)]"
0,pierre-gasly,12,8,5643.959804746645,"['soft', 'medium', 'hard']","[9, 41]",6,72,"[np.float64(82.36014658981291), np.float64(76.89015810640461), np.float64(77.69152840027456), np.float64(78.41745300498184), np.float64(76.53323238076177), np.float64(77.82720482767323), np.float64(79.04241303137506), np.float64(78.21361400554865), np.float64(79.67548397855471), np.float64(101.90089658978943), np.float64(77.03492906858027), np.float64(77.02947640655643), np.float64(77.03336907960761), np.float64(76.06536073032605), np.float64(77.5580617880936), np.float64(76.74171379898598), np.float64(77.14972108734683), np.float64(77.82885991805193), np.float64(77.46746275483554), np.float64(76.89841218077184), np.float64(76.7881138726471), np.float64(77.52716476535663), np.float64(77.70201928087394), np.float64(77.2046382394457), np.float64(77.39642148309417), np.float64(78.04534688666358), np.float64(77.24427212181133), np.float64(78.20900823941358), np.float64(77.7117440976664), np.float64(78.3301225812543), np.float64(78.17250490606969), np.float64(78.4584428946162), np.float64(78.72639776098758), np.float64(78.43296058650483), np.float64(79.05103937730041), np.float64(79.92719067291087), np.float64(79.38057260910482), np.float64(79.87352373925837), np.float64(78.5989531343987), np.float64(79.24244944910178), np.float64(79.57164258623432), np.float64(101.42365673096262), np.float64(75.9822036538799), np.float64(75.59808322597158), np.float64(75.57464266616554), np.float64(76.29017777230604), np.float64(76.26668037991857), np.float64(76.07421227373527), np.float64(75.43791874118492), np.float64(75.87050762662562), np.float64(75.629370933287), np.float64(75.29832326287574), np.float64(74.84175219217703), np.float64(75.16262253402955), np.float64(75.23445503750894), np.float64(75.57590246092062), np.float64(76.2723262931211), np.float64(75.04730372636931), np.float64(75.67939675716295), np.float64(75.66578811048407), np.float64(74.9654145084823), np.float64(76.03713103901553), np.float64(75.84956713477746), np.float64(76.00942034951917), np.float64(75.31568238282308), np.float64(75.69231123525933), np.float64(75.25668140007868), np.float64(75.90448645350196), np.float64(76.087801150108), np.float64(75.50510852632814), np.float64(75.96506186524368), np.float64(75.66827599999934)]"
0,nico-hulkenberg,13,9,5663.112020019157,"['soft', 'hard', 'medium']","[9, 53]",6,72,"[np.float64(82.82122271094971), np.float64(77.84892926381738), np.float64(78.21510813377716), np.float64(78.37234514186484), np.float64(78.8943735973772), np.float64(78.31956771475464), np.float64(78.11133095142107), np.float64(79.82782031107152), np.float64(79.30028044744753), np.float64(101.40221762638878), np.float64(77.99078549552732), np.float64(76.0849990661571), np.float64(76.42308999615419), np.float64(77.1990609514255), np.float64(77.48037178032348), np.float64(76.60517254126907), np.float64(76.99600728064196), np.float64(76.92676615525588), np.float64(76.72779205421223), np.float64(77.61515031519684), np.float64(77.548342762435), np.float64(76.67494576755449), np.float64(77.85972711719651), np.float64(77.65638477713473), np.float64(77.88449431690908), np.float64(78.30794410047494), np.float64(76.67233810142804), np.float64(77.2554223075626), np.float64(77.27653204954794), np.float64(76.8386789712147), np.float64(76.82754726059304), np.float64(76.55206098903193), np.float64(77.50915155435081), np.float64(78.35616718962906), np.float64(78.91697614565268), np.float64(76.9222397937584), np.float64(77.08874098457903), np.float64(77.97145172422601), np.float64(77.50649549380158), np.float64(78.09880908350216), np.float64(78.60216431825499), np.float64(78.98327719397837), np.float64(78.72068053776718), np.float64(78.6439586948219), np.float64(78.07539974242758), np.float64(79.01057762378659), np.float64(78.92912127070852), np.float64(79.57010561140572), np.float64(78.78250145073464), np.float64(79.13451077334167), np.float64(79.78806387183148), np.float64(78.67927872873227), np.float64(79.02014682781257), np.float64(100.84616802229108), np.float64(74.45521623511904), np.float64(74.99203052324873), np.float64(75.08720611234723), np.float64(75.25193601571844), np.float64(75.15491512293694), np.float64(75.33764586264152), np.float64(75.72387105837095), np.float64(75.58525935701863), np.float64(75.15807258434252), np.float64(74.90161785859166), np.float64(74.52165970943147), np.float64(74.64515976203052), np.float64(76.0152965302042), np.float64(74.91067087211991), np.float64(76.27307367744002), np.float64(75.74501493021259), np.float64(74.90110992977289), np.float64(75.8712272034259)]"
